iter	MultiClass	TotalF1:use_weights=true	TotalF1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	MultiClass:use_weights=true	MultiClass:use_weights=false
26	0.2519667986	0.923935314	0.8874981537	0.9244753115	0.8858005083	0.2519667986	0.3477904225
27	0.245326598	0.9270097319	0.8897487109	0.927541016	0.8881829733	0.245326598	0.3387994363
28	0.240395324	0.9269282074	0.8906454251	0.9274765199	0.8891359593	0.240395324	0.3340204214
29	0.2386885685	0.9287539392	0.8920746532	0.929284906	0.8905654384	0.2386885685	0.3317735942
30	0.2342564981	0.9304254839	0.8958827957	0.9309810595	0.8945362135	0.2342564981	0.324726113
31	0.2276861205	0.9345129943	0.9000250047	0.9350797192	0.8988246506	0.2276861205	0.3168357335
32	0.2248116912	0.9353139391	0.9004934478	0.9358750782	0.8993011436	0.2248116912	0.3133927084
33	0.2180479478	0.9378323229	0.902677599	0.9383724766	0.9015247776	0.2180479478	0.3063119347
34	0.2137319567	0.9408685674	0.9041923888	0.9413932241	0.9031130877	0.2137319567	0.302375846
35	0.2099187342	0.942949356	0.909483895	0.9434001311	0.9085133418	0.2099187342	0.2950725963
36	0.2050276813	0.942541278	0.9099614573	0.9429621612	0.9089898348	0.2050276813	0.2880262249
37	0.2019799327	0.9418919792	0.9096161534	0.9423447811	0.9086721728	0.2019799327	0.2841503779
38	0.2006913852	0.9423641995	0.9102304871	0.9428001828	0.9093074968	0.2006913852	0.2826527117
39	0.1987896452	0.9457213085	0.9141487337	0.9461126211	0.9132782719	0.1987896452	0.280022533
40	0.1966787042	0.9466428536	0.9151905487	0.9470212194	0.9143900889	0.1966787042	0.2769760908
41	0.191977624	0.9502489918	0.9194281562	0.9506209481	0.918678526	0.191977624	0.2715969488
42	0.1900460026	0.9526778156	0.9228523437	0.9530295294	0.9221728081	0.1900460026	0.2693428688
43	0.1835776107	0.9541904401	0.9268312539	0.9544932608	0.9263024142	0.1835776107	0.2585924291
44	0.1802365244	0.9536730053	0.9263606457	0.9539719311	0.9258259212	0.1802365244	0.2551003485
