iter	MultiClass
0	1.571652894
1	1.415350248
2	1.304420099
3	1.202487508
4	1.120915457
5	1.053164869
6	1.000032841
7	0.9487746282
8	0.8965774039
9	0.8508487889
10	0.8114443823
11	0.7816691949
12	0.7504939663
13	0.7218226525
14	0.6963752225
15	0.6749512744
16	0.6574576674
17	0.6368790531
18	0.622801392
19	0.6096338988
20	0.5935858988
21	0.5799183824
22	0.5685585012
23	0.5608170883
24	0.5475420592
25	0.5379191332
26	0.5267343817
27	0.5181600711
28	0.5105082233
29	0.5015143398
30	0.4975609383
31	0.49052214
32	0.4834686377
33	0.4774304993
34	0.4700465257
35	0.4636927118
36	0.4560012953
37	0.4511471111
38	0.4454523925
39	0.4415960896
40	0.4374482965
41	0.4341541737
42	0.4296793744
43	0.425113848
44	0.4235467343
45	0.4200417548
46	0.4185847543
47	0.4135139864
48	0.4106740358
49	0.4073255088
50	0.4042123653
51	0.3995651052
52	0.3962363563
53	0.3947171346
54	0.3924582178
55	0.3890887151
56	0.3873295622
57	0.3845782814
58	0.3823922521
59	0.3801124085
60	0.3778920935
61	0.3765010393
62	0.3746695309
63	0.3723370163
64	0.369476238
65	0.3671650799
66	0.3646096086
67	0.3638117807
68	0.3613668859
69	0.3585295132
70	0.3573005392
71	0.3552974128
72	0.3543479967
73	0.352242141
74	0.3499434265
75	0.346901707
76	0.3438686802
77	0.3427038293
78	0.3408544251
79	0.339702079
80	0.3378800005
81	0.3353435311
82	0.3341615166
83	0.332190373
84	0.3312110932
85	0.329212076
86	0.3283963647
87	0.3268887757
88	0.3253114744
89	0.3242648253
90	0.3236844355
91	0.3221376335
92	0.3206464168
93	0.3192655654
94	0.3185906552
95	0.3173322168
96	0.316607656
97	0.3147602081
98	0.3140800438
99	0.3125814538
100	0.3113633127
101	0.3103854707
102	0.3081902181
103	0.3062594172
104	0.3051410494
105	0.3035952514
106	0.3017034918
107	0.3003675675
108	0.2993482689
109	0.2974753409
110	0.2964378859
111	0.2951580324
112	0.2939693709
113	0.2930139683
114	0.2916495731
115	0.2904119928
116	0.2892239411
117	0.2869707051
118	0.2854291607
119	0.2843237863
120	0.2830795197
121	0.2819934986
122	0.2808397622
123	0.2789662008
124	0.2777936671
125	0.2770886984
126	0.276398125
127	0.2746220027
128	0.2730536878
129	0.2718865409
130	0.2709270814
131	0.2705089665
132	0.2692762929
133	0.2681342458
134	0.2672542687
135	0.2667746349
136	0.2660724269
137	0.2649406575
138	0.2637630138
139	0.2621387276
140	0.2611835961
141	0.2603680544
142	0.2595864569
143	0.2591606576
144	0.2581474661
145	0.257399403
146	0.2565953547
147	0.2554042569
148	0.2547076077
149	0.2538440071
150	0.2530222905
151	0.2525371878
152	0.2516923988
153	0.2512336803
154	0.2499044241
155	0.2491721454
156	0.2482158074
157	0.247587759
158	0.2470224096
159	0.2464724741
160	0.2457911662
161	0.2447491883
162	0.2435169564
163	0.2427736756
164	0.2421590981
165	0.2412025384
166	0.240006668
167	0.2392683459
168	0.2384315659
169	0.238006987
170	0.2374270977
171	0.2360435706
172	0.2354035854
173	0.2343820892
174	0.2335931582
175	0.2329872736
176	0.2319270676
177	0.2315903055
178	0.2311387375
179	0.2303948644
180	0.2295765594
181	0.2287358031
182	0.2281748219
183	0.2276314801
184	0.2272424802
185	0.2264234785
186	0.2257732072
187	0.2253650663
188	0.2247300739
189	0.2237849783
190	0.223091356
191	0.2222733489
192	0.2217540146
193	0.2209242124
194	0.2202151896
195	0.2192950699
196	0.2186840351
197	0.2175244897
198	0.2171228266
199	0.2167284217
200	0.2159200966
201	0.2154367296
202	0.214976889
203	0.2144757277
204	0.2141251466
205	0.2138028982
206	0.2127753064
207	0.2122011319
208	0.2111393974
209	0.2107637869
210	0.2103108209
211	0.209936606
212	0.2093472639
213	0.2088603159
214	0.2083518344
215	0.2075769496
216	0.2067181454
217	0.206214567
218	0.2055566539
219	0.2047586042
220	0.2038827918
221	0.2033077798
222	0.2030348108
223	0.2026241899
224	0.2020409907
225	0.2016314996
226	0.2012180846
227	0.2007438885
228	0.2005772341
229	0.2000154603
230	0.1994786725
231	0.1992189094
232	0.198840973
233	0.1983347135
234	0.1973312755
235	0.1965066262
236	0.196095839
237	0.1957892051
238	0.1953081602
239	0.1943786445
240	0.193718015
241	0.193185192
242	0.192944279
243	0.1927019604
244	0.1922049941
245	0.1911104459
246	0.1907049307
247	0.1900432178
248	0.189517466
249	0.1888881813
250	0.1881907336
251	0.1880248049
252	0.1875279812
253	0.1868937101
254	0.186634716
255	0.1862390098
256	0.1858909821
257	0.1855099383
258	0.1851166173
259	0.1848312871
260	0.183947769
261	0.1835723587
262	0.1831491437
263	0.1826933598
264	0.1824213218
265	0.1819398364
266	0.1816336975
267	0.1813297235
268	0.181204405
269	0.1807379694
270	0.1803698636
271	0.1796907208
272	0.1789170198
273	0.1784496824
274	0.1779953859
275	0.177780154
276	0.1773811919
277	0.1771663603
278	0.1766915215
279	0.1759296028
280	0.1754988279
281	0.1751060038
282	0.1747724757
283	0.1744936791
284	0.1743028012
285	0.1741531537
286	0.1738445937
287	0.1734094051
288	0.1728335733
289	0.1723829931
290	0.1718302275
291	0.1715906901
292	0.1707745899
293	0.1703068376
294	0.170005961
295	0.1696403676
296	0.1693229842
297	0.1687206953
298	0.1683316368
299	0.1677221849
300	0.1674671982
301	0.1671006029
302	0.1665525772
303	0.1659075351
304	0.1652937406
305	0.1650603442
306	0.1646416477
307	0.1641597525
308	0.1637779434
309	0.1634174139
310	0.163105356
311	0.1627246112
312	0.1622787915
313	0.1618535398
314	0.1614014047
315	0.1609340869
316	0.160616243
317	0.1603779713
318	0.160121711
319	0.1599165857
320	0.1597508141
321	0.1591224405
322	0.1584604412
323	0.158099057
324	0.1577439206
325	0.1574512994
326	0.1571542273
327	0.1564333372
328	0.1560918978
329	0.1556349911
330	0.1553215758
331	0.1550738478
332	0.154592892
333	0.1542864975
334	0.1540324405
335	0.153744076
336	0.1533194008
337	0.153099391
338	0.1528548485
339	0.1526280103
