iter	Passed	Remaining
401	19699	29303
402	19740	29243
403	19783	29186
404	19828	29130
405	19871	29073
406	19941	29054
407	20018	29046
408	20060	28986
409	20104	28931
410	20144	28869
411	20186	28810
412	20230	28753
413	20289	28718
414	20331	28660
415	20375	28604
416	20417	28545
417	20456	28482
418	20497	28423
419	20540	28365
420	20581	28305
421	20622	28245
422	20662	28185
423	20704	28126
424	20747	28070
425	20789	28011
426	20829	27951
427	20869	27890
428	20909	27830
429	20952	27774
430	20997	27721
431	21075	27710
432	21114	27648
433	21158	27593
434	21198	27534
435	21237	27472
436	21279	27415
437	21320	27356
438	21364	27301
439	21407	27245
440	21469	27214
441	21547	27202
442	21593	27149
443	21661	27125
444	21716	27084
445	21774	27046
446	21835	27013
447	21893	26975
448	21947	26933
449	22019	26913
450	22137	26947
451	22206	26923
452	22279	26902
453	22335	26861
454	22395	26825
455	22447	26780
456	22499	26733
457	22540	26674
458	22586	26621
459	22634	26570
460	22690	26529
461	22739	26480
462	22787	26429
463	22834	26377
464	22888	26333
465	22933	26279
466	22988	26237
467	23038	26188
468	23094	26147
469	23152	26108
470	23203	26060
471	23250	26009
472	23303	25963
473	23360	25923
474	23407	25871
475	23456	25821
476	23506	25772
477	23555	25724
478	23602	25672
479	23649	25620
480	23702	25574
481	23750	25524
482	23801	25476
483	23846	25422
484	23889	25367
485	23930	25308
486	23976	25256
487	24042	25225
488	24106	25190
489	24158	25144
490	24204	25092
491	24250	25039
492	24297	24987
493	24343	24934
494	24386	24878
495	24431	24825
496	24473	24768
497	24526	24723
498	24573	24672
499	24618	24618
500	24658	24560
501	24704	24507
502	24755	24460
503	24796	24403
504	24836	24344
505	24877	24287
506	24920	24232
507	24964	24178
508	25013	24128
509	25062	24079
510	25106	24025
511	25150	23971
512	25193	23916
513	25234	23860
514	25275	23803
515	25318	23747
516	25364	23696
517	25411	23645
518	25454	23590
519	25495	23534
520	25536	23477
521	25575	23419
522	25622	23368
523	25662	23311
524	25704	23256
525	25746	23201
526	25786	23143
527	25829	23090
528	25873	23036
529	25916	22982
530	25959	22928
531	26003	22875
532	26049	22823
533	26092	22770
534	26140	22720
535	26188	22670
536	26229	22614
537	26275	22563
538	26317	22508
539	26362	22457
540	26426	22420
541	26486	22381
542	26536	22333
543	26587	22286
544	26636	22237
545	26689	22192
546	26739	22144
547	26792	22099
548	26852	22059
549	26910	22018
550	26964	21973
551	27020	21929
552	27069	21880
553	27124	21836
554	27167	21783
555	27213	21731
556	27264	21684
557	27316	21637
558	27359	21584
559	27402	21530
560	27443	21475
561	27485	21421
562	27525	21365
563	27573	21315
564	27616	21262
565	27660	21209
566	27703	21156
567	27746	21102
568	27789	21049
569	27830	20995
570	27870	20939
571	27911	20884
572	27965	20839
573	28010	20788
574	28062	20741
575	28102	20686
576	28142	20631
577	28182	20576
578	28223	20521
579	28263	20466
580	28303	20411
581	28347	20359
582	28396	20310
583	28457	20270
584	28508	20223
585	28554	20173
586	28601	20123
587	28646	20072
588	28689	20019
589	28729	19964
590	28771	19911
591	28811	19856
592	28853	19803
593	28894	19749
594	28936	19696
595	28976	19641
596	29017	19588
597	29059	19534
598	29102	19482
599	29142	19428
600	29182	19374
601	29221	19319
602	29264	19267
603	29305	19213
604	29345	19159
605	29385	19105
606	29422	19049
607	29471	19001
608	29515	18949
609	29562	18900
610	29617	18856
611	29671	18811
612	29724	18765
613	29773	18717
614	29818	18666
615	29866	18618
616	29915	18569
617	29962	18520
618	30007	18469
619	30055	18421
620	30101	18370
621	30152	18324
622	30202	18276
623	30257	18232
624	30310	18186
625	30359	18138
626	30415	18094
627	30464	18045
628	30513	17997
629	30563	17949
630	30613	17902
631	30653	17849
632	30692	17794
633	30732	17741
634	30771	17687
635	30815	17636
636	30856	17583
637	30896	17530
638	30937	17477
639	30979	17426
640	31023	17374
641	31064	17322
642	31103	17269
643	31147	17218
644	31190	17166
645	31236	17117
646	31276	17064
647	31317	17012
648	31359	16959
649	31401	16908
650	31446	16858
651	31489	16807
652	31529	16754
653	31570	16702
654	31612	16651
655	31664	16604
656	31704	16552
657	31747	16500
658	31788	16448
659	31828	16396
660	31870	16344
661	31909	16292
662	31951	16240
663	31994	16190
664	32035	16138
665	32080	16088
666	32123	16037
667	32164	15985
668	32203	15933
669	32244	15881
670	32290	15832
671	32329	15779
672	32371	15728
673	32415	15678
674	32455	15626
675	32497	15575
676	32537	15523
677	32577	15472
678	32618	15420
679	32662	15370
680	32718	15326
681	32772	15281
682	32814	15230
683	32855	15178
684	32897	15128
685	32950	15082
686	32992	15031
687	33033	14980
688	33076	14930
689	33118	14879
690	33169	14832
691	33220	14786
692	33270	14738
693	33318	14691
694	33372	14645
695	33412	14593
696	33454	14543
697	33498	14493
698	33537	14441
699	33578	14390
700	33622	14341
701	33665	14290
702	33706	14240
703	33746	14188
704	33786	14137
705	33829	14087
706	33870	14036
707	33909	13985
708	33948	13933
709	33987	13882
710	34034	13833
711	34076	13783
712	34119	13733
713	34164	13684
714	34206	13634
715	34253	13586
716	34294	13536
717	34333	13484
718	34373	13433
719	34413	13383
720	34457	13333
721	34497	13282
722	34534	13231
723	34574	13180
724	34615	13129
725	34656	13079
726	34698	13029
727	34738	12979
728	34778	12928
729	34817	12877
730	34860	12828
731	34899	12777
732	34940	12727
733	34984	12678
734	35027	12629
735	35070	12579
736	35110	12529
737	35151	12479
738	35191	12428
739	35234	12379
740	35281	12331
741	35325	12283
742	35369	12234
743	35414	12185
744	35457	12136
745	35500	12087
746	35542	12037
747	35582	11987
748	35619	11936
749	35661	11887
750	35704	11838
751	35745	11788
752	35786	11738
753	35826	11688
754	35865	11638
755	35908	11589
756	35948	11539
757	35990	11490
758	36034	11441
759	36072	11391
760	36120	11343
761	36174	11298
762	36239	11256
763	36305	11214
764	36352	11166
765	36401	11119
766	36446	11071
767	36490	11023
768	36535	10974
769	36581	10926
770	36623	10877
771	36669	10829
772	36715	10781
773	36758	10733
774	36805	10685
775	36848	10636
